students,education level,gender,2013 Enrollments,2014 Enrollments,2015 Enrollments
d-196622,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-196752,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-197132,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-197257,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-197287,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-197361,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-197600,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-197606,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-197632,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-197647,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-197685,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-197942,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-197979,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-198296,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-198395,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-198617,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-198772,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-198817,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-198846,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-198864,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-198972,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199000,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199030,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199036,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199045,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199093,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199117,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199164,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199310,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199322,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199333,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199545,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199558,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199601,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199648,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199660,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199697,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199761,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199793,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199937,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-199988,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-139929,Graduate,male,S637-2013,Not Enrolled,IVMOOC-2015
d-101740,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-102710,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-103263,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-107825,College,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-110822,College,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-111538,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-113189,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-115448,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-117527,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-118697,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-123477,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-125571,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-126967,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-127451,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-132777,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-132781,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-135672,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-140729,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-146153,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-149801,College,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-152835,College,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-152880,College,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-153189,College,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-156618,College,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-157968,College,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-160476,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-160886,College,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-161575,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-162014,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-164952,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-165694,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-165845,College,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-170579,College,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-171318,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-176884,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-177006,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-177936,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-179453,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-180273,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-182423,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-182727,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-183488,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-184111,College,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-185548,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-190528,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-192415,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-192659,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-192882,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-199989,College,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-100218,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-100412,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-101026,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-101647,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-102805,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-103885,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-104102,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-105045,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-105577,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-105853,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-106056,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-106379,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-106884,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-106902,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-107073,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-107844,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-108501,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-108583,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-108907,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-111302,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-111532,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-111600,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-112854,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-112981,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-114749,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-116092,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-116826,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-117326,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-118598,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-118710,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-120362,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-120524,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-121531,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-122228,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-122383,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-122758,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-122979,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-123423,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-124431,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-124457,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-124588,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-125194,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-125257,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-125344,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-126212,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-126460,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-127409,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-127541,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-128173,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-128301,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-128599,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-129170,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-129216,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-129485,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-129968,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-130791,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-131209,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-134221,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-134582,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-135400,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-135473,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-135930,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-136153,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-136519,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-136531,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-136800,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-137485,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-138547,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-138584,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-141387,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-142200,Graduate,Not Specified,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-142544,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-142671,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-143823,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-145474,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-145484,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-146599,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-147247,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-148082,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-148318,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-148437,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-148609,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-148834,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-149699,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-149757,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-149763,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-150515,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-150900,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-154211,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-155894,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-155995,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-156109,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-156404,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-156691,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-157415,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-157919,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-158166,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-158411,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-159192,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-160109,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-160128,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-161358,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-161440,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-162648,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-163820,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-164543,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-165096,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-165592,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-165762,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-165790,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-166272,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-166817,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-166872,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-167812,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-167970,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-168619,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-169916,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-170074,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-171698,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-171794,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-172132,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-173420,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-173662,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-173679,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-173768,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-173896,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-174814,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-174874,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-174899,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-175192,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-175708,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-178618,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-180209,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-180379,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-180840,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-181976,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-182138,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-182814,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-183104,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-183226,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-183576,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-183588,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-183996,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-185256,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-186396,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-187634,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-187939,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-188419,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-189012,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-189400,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-190085,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-190759,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-190859,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-191281,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-191558,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-192521,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-193387,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-193865,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-193889,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-194030,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-194638,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-195131,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-195282,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-196012,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-197083,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-197214,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-197391,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-197781,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-198410,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-199250,Graduate,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-199865,Graduate,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-112432,High School,Not Specified,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-134360,High School,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-135209,High School,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-137359,High School,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-154693,High School,Not Specified,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-155230,High School,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-163507,High School,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-176765,High School,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-182251,High School,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-187001,High School,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-191963,High School,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-101539,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-101902,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-104582,Ph.D.,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-107309,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-107842,Ph.D.,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-111339,Ph.D.,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-111531,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-111767,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-112896,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-114401,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-114685,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-116990,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-118595,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-120750,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-120939,Ph.D.,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-121781,Ph.D.,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-122093,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-123933,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-129880,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-130654,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-131977,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-132866,Ph.D.,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-141773,Ph.D.,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-142273,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-143493,Ph.D.,Not Specified,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-144554,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-145412,Ph.D.,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-145511,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-146961,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-150470,Ph.D.,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-155468,Ph.D.,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-156785,Ph.D.,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-157374,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-158500,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-158724,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-160441,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-163987,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-168097,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-171796,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-172433,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-174749,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-175451,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-179001,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-180803,Ph.D.,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-183081,Ph.D.,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-183323,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-185603,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-186034,Ph.D.,Not Specified,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-190993,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-191920,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-194468,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-198044,Ph.D.,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-110412,Unknown,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-124675,Unknown,female,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-136275,Unknown,male,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-185246,Unknown,Not Specified,IVMOOC-2013,IVMOOC-2014,Not Enrolled
d-100937,College,male,Not Enrolled,IVMOOC-2014,Not Enrolled
d-100951,College,male,Not Enrolled,IVMOOC-2014,Not Enrolled
d-101012,College,male,Not Enrolled,IVMOOC-2014,Not Enrolled
d-101221,College,male,Not Enrolled,IVMOOC-2014,Not Enrolled
d-101626,College,male,Not Enrolled,IVMOOC-2014,Not Enrolled
d-101696,College,male,Not Enrolled,IVMOOC-2014,Not Enrolled
d-102344,College,male,Not Enrolled,IVMOOC-2014,Not Enrolled
d-102390,College,male,Not Enrolled,IVMOOC-2014,Not Enrolled
d-102465,College,female,Not Enrolled,IVMOOC-2014,Not Enrolled
d-102506,College,Not Specified,Not Enrolled,IVMOOC-2014,Not Enrolled
d-102513,College,male,Not Enrolled,IVMOOC-2014,Not Enrolled
d-102769,College,male,Not Enrolled,IVMOOC-2014,Not Enrolled
d-103002,College,male,Not Enrolled,IVMOOC-2014,Not Enrolled
d-103482,College,male,Not Enrolled,IVMOOC-2014,Not Enrolled
d-103834,College,male,Not Enrolled,IVMOOC-2014,Not Enrolled
d-104029,College,male,Not Enrolled,IVMOOC-2014,Not Enrolled
d-104037,College,female,Not Enrolled,IVMOOC-2014,Not Enrolled
d-104046,College,female,Not Enrolled,IVMOOC-2014,Not Enrolled
d-104641,College,male,Not Enrolled,IVMOOC-2014,Not Enrolled
d-104749,College,female,Not Enrolled,IVMOOC-2014,Not Enrolled
d-104857,College,female,Not Enrolled,IVMOOC-2014,Not Enrolled
