students,education level,gender,2013 Enrollments,2014 Enrollments,2015 Enrollments
d-140255,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-141586,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-144527,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-144944,Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-145893,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-147266,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-148543,Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-149349,Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-151830,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-152852,Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-155731,Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-156407,Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-157425,Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-158330,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-160590,Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-164579,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-164710,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-166062,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-167295,Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-167550,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-168230,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-173166,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-175234,Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-178103,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-178456,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-180762,Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-180922,Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-181040,Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-181111,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-183144,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-183297,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-183731,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-184085,Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-184828,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
